"","ID","Name","Sex","Age","Height","Weight","Team","NOC","Games","Year","Season","City","Sport","Event","Medal"
"112766",57126,"Valentina Kamsulyeva","F",25,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Judo","Judo Women's Half-Middleweight",NA
"113503",57501,"Ivan Vyacheslavovich Karaulov","M",25,180,60,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"113504",57501,"Ivan Vyacheslavovich Karaulov","M",25,180,60,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"113505",57501,"Ivan Vyacheslavovich Karaulov","M",25,180,60,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"113628",57558,"Aliya Toregaliyevna Karimova","F",22,162,51,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Synchronized Swimming","Synchronized Swimming Women's Duet",NA
"113629",57558,"Aliya Toregaliyevna Karimova","F",26,162,51,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Synchronized Swimming","Synchronized Swimming Women's Duet",NA
"113634",57562,"Nurzhan Minzhasarovich Karimzhanov","M",20,173,64,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Boxing","Boxing Men's Lightweight",NA
"113635",57562,"Nurzhan Minzhasarovich Karimzhanov","M",24,173,64,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Boxing","Boxing Men's Light-Welterweight",NA
"113912",57701,"Nikolay Nikolayevich Karpenko","M",24,179,62,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"113913",57701,"Nikolay Nikolayevich Karpenko","M",24,179,62,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"113914",57701,"Nikolay Nikolayevich Karpenko","M",24,179,62,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"113915",57701,"Nikolay Nikolayevich Karpenko","M",28,179,62,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"113916",57701,"Nikolay Nikolayevich Karpenko","M",28,179,62,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"113948",57714,"Dmitry Vasilyevich Karpov","M",23,198,98,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's Decathlon","Bronze"
"113949",57714,"Dmitry Vasilyevich Karpov","M",27,198,98,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Athletics","Athletics Men's Decathlon",NA
"113950",57714,"Dmitry Vasilyevich Karpov","M",31,198,98,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Athletics","Athletics Men's Decathlon",NA
"113956",57719,"Olga Karpova","F",28,185,64,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Volleyball","Volleyball Women's Volleyball",NA
"114021",57755,"Doszhan Nurbatyrovich Kartikov","M",27,173,75,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"114200",57837,"Rima Kashafutdinova","F",21,160,48,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 100 metres",NA
"114201",57837,"Rima Kashafutdinova","F",21,160,48,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Women's 4 x 100 metres Relay",NA
"114208",57843,"Andrey Grigoryevich Kashechkin","M",24,182,63,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Road Race, Individual",NA
"114209",57843,"Andrey Grigoryevich Kashechkin","M",24,182,63,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Individual Time Trial",NA
"115035",58272,"Svetlana Anatolyevna Kazanina","F",24,176,62,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Women's Heptathlon",NA
"115036",58272,"Svetlana Anatolyevna Kazanina","F",28,176,62,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Women's Heptathlon",NA
"115037",58272,"Svetlana Anatolyevna Kazanina","F",32,176,62,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Women's Heptathlon",NA
"115068",58286,"Dmitry Kazarlyga","M",22,179,71,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Figure Skating","Figure Skating Mixed Ice Dancing",NA
"115069",58286,"Dmitry Kazarlyga","M",26,179,71,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Figure Skating","Figure Skating Mixed Ice Dancing",NA
"115088",58301,"Sergey Kaznacheyev","M",23,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 1,500 metres",NA
"115089",58301,"Sergey Kaznacheyev","M",23,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 5,000 metres",NA
"115161",58345,"Almat Kabdrashevich Kebispayev","M",24,166,59,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Wrestling","Wrestling Men's Lightweight, Greco-Roman",NA
"115162",58345,"Almat Kabdrashevich Kebispayev","M",28,166,59,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Wrestling","Wrestling Men's Featherweight, Greco-Roman",NA
"115871",58691,"Dias Yerikulovich Keneshev","M",24,172,65,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"115872",58691,"Dias Yerikulovich Keneshev","M",24,172,65,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 20 kilometres",NA
"115873",58691,"Dias Yerikulovich Keneshev","M",24,172,65,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"115874",58691,"Dias Yerikulovich Keneshev","M",28,172,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 10 kilometres Sprint",NA
"115875",58691,"Dias Yerikulovich Keneshev","M",28,172,65,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",NA
"116122",58806,"Aynur Kerey","F",24,172,56,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Synchronized Swimming","Synchronized Swimming Women's Duet",NA
"116763",59083,"Danil Takhirovich Khalimov","M",26,170,74,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Wrestling","Wrestling Men's Middleweight, Greco-Roman",NA
"116793",59101,"Marina Khalturina","F",23,162,48,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Figure Skating","Figure Skating Mixed Pairs",NA
"116833",59129,"Didar Khamza","M",19,175,73,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Judo","Judo Men's Lightweight",NA
"116896",59175,"Vitaly Albertovich Khan","M",18,179,70,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 200 metres Freestyle",NA
"116931",59204,"Farkhad Ibragimovich Kharki","M",25,160,62,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Weightlifting","Weightlifting Men's Featherweight","Bronze"
"116969",59220,"Saida Uralovna Khasenova","F",25,169,NA,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Boxing","Boxing Women's Lightweight",NA
"117035",59264,"Timur Khaydarov","M",20,185,86,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Canadian Singles, 200 metres",NA
"117036",59264,"Timur Khaydarov","M",20,185,86,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",NA
"117142",59320,"Tatyana Khlyzova","F",20,164,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"117322",59400,"Aleksey Khovrin","M",23,NA,NA,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",NA
"117334",59405,"Anatoly Mikhaylovich Khrapaty","M",32,171,96,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Weightlifting","Weightlifting Men's Heavyweight I","Silver"
"117335",59405,"Anatoly Mikhaylovich Khrapaty","M",36,171,96,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Weightlifting","Weightlifting Men's Heavyweight",NA
"117500",59468,"Tatyana Nikolayevna Khromova","F",20,173,75,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Weightlifting","Weightlifting Women's Heavyweight",NA
"117501",59468,"Tatyana Nikolayevna Khromova","F",24,173,75,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Weightlifting","Weightlifting Women's Heavyweight",NA
"117507",59471,"Yelena Vladimirovna Khrustalyova","F",29,162,53,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"117508",59471,"Yelena Vladimirovna Khrustalyova","F",29,162,53,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 10 kilometres Pursuit",NA
"117509",59471,"Yelena Vladimirovna Khrustalyova","F",29,162,53,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 12.5 kilometres Mass Start",NA
"117510",59471,"Yelena Vladimirovna Khrustalyova","F",29,162,53,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 15 kilometres","Silver"
"117511",59471,"Yelena Vladimirovna Khrustalyova","F",29,162,53,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"117512",59471,"Yelena Vladimirovna Khrustalyova","F",33,162,53,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 7.5 kilometres Sprint",NA
"117513",59471,"Yelena Vladimirovna Khrustalyova","F",33,162,53,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",NA
"117514",59471,"Yelena Vladimirovna Khrustalyova","F",33,162,53,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 10 kilometres Pursuit",NA
"117515",59471,"Yelena Vladimirovna Khrustalyova","F",33,162,53,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 15 kilometres",NA
"117516",59471,"Yelena Vladimirovna Khrustalyova","F",33,162,53,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",NA
"117536",59483,"Martin Iosifovich Khuber","M",22,180,85,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"117537",59483,"Martin Iosifovich Khuber","M",22,180,85,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Alpine Skiing","Alpine Skiing Men's Super G",NA
"117538",59483,"Martin Iosifovich Khuber","M",22,180,85,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Alpine Skiing","Alpine Skiing Men's Combined",NA
"117550",59489,"Rustam Ramizovich Khudiyev","M",19,177,84,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Swimming","Swimming Men's 100 metres Butterfly",NA
"117551",59489,"Rustam Ramizovich Khudiyev","M",23,177,84,"Kazakhstan","KAZ","2008 Summer",2008,"Summer","Beijing","Swimming","Swimming Men's 100 metres Butterfly",NA
"117555",59492,"Vitaly Khudyakov","M",21,186,83,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Swimming","Swimming Men's 10 kilometres Open Water",NA
"119741",60626,"Muratbek Sultanbekovich Kipshakbayev","M",24,169,66,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Judo","Judo Men's Half-Lightweight",NA
"120439",60957,"Andrey Mikhaylovich Kivilyov","M",22,177,68,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Cycling","Cycling Men's Road Race, Individual",NA
"120440",60957,"Andrey Mikhaylovich Kivilyov","M",26,177,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Cycling","Cycling Men's Road Race, Individual",NA
"120990",61198,"Vladimir Ivanovich Klepinin","M",22,182,79,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Speed Skating","Speed Skating Men's 500 metres",NA
"120991",61198,"Vladimir Ivanovich Klepinin","M",22,182,79,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Speed Skating","Speed Skating Men's 1,000 metres",NA
"120992",61198,"Vladimir Ivanovich Klepinin","M",26,182,79,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 500 metres",NA
"120993",61198,"Vladimir Ivanovich Klepinin","M",26,182,79,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Speed Skating","Speed Skating Men's 1,000 metres",NA
"121177",61266,"Igor Klimov","M",34,187,120,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",NA
"121263",61306,"Inna Klinova","F",30,173,78,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Singles, 200 metres",NA
"121264",61306,"Inna Klinova","F",30,173,78,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Canoeing","Canoeing Women's Kayak Fours, 500 metres",NA
"122068",61711,"Dmitry Koblov","M",23,183,82,"Kazakhstan","KAZ","2016 Summer",2016,"Summer","Rio de Janeiro","Athletics","Athletics Men's 400 metres Hurdles",NA
"122858",62100,"Nikita Konstantinovich Kokorin","M",23,191,77,"Kazakhstan","KAZ","2012 Summer",2012,"Summer","London","Water Polo","Water Polo Men's Water Polo",NA
"122972",62156,"Aleksey Nikolayevich Koledayev","M",29,183,88,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"123013",62170,"Vitaly Nikolayevich Kolesnik","M",26,190,90,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"123031",62179,"Aleksey Anatolyevich Kolesov","M",20,178,73,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Cycling","Cycling Men's Points Race",NA
"123081",62203,"Andrey Kolganov","M",25,175,68,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Fencing","Fencing Men's Foil, Individual",NA
"123087",62205,"Mikhail Aleksandrovich Kolganov","M",24,179,63,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 800 metres",NA
"123160",62242,"Aleksandr Kolmakov","M",27,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"123161",62242,"Aleksandr Kolmakov","M",27,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"123162",62242,"Aleksandr Kolmakov","M",31,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",NA
"123163",62242,"Aleksandr Kolmakov","M",31,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Individual",NA
"123164",62242,"Aleksandr Kolmakov","M",31,NA,NA,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ski Jumping","Ski Jumping Men's Large Hill, Team",NA
"123165",62243,"Pavel Anatolyevich Kolmakov","M",17,178,78,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Freestyle Skiing","Freestyle Skiing Men's Moguls",NA
"123227",62265,"Yelena Vladimirovna Kolomina","F",25,158,50,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"123228",62265,"Yelena Vladimirovna Kolomina","F",25,158,50,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"123229",62265,"Yelena Vladimirovna Kolomina","F",25,158,50,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"123230",62265,"Yelena Vladimirovna Kolomina","F",25,158,50,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"123231",62265,"Yelena Vladimirovna Kolomina","F",25,158,50,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",NA
"123232",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"123233",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"123234",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"123235",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"123236",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",NA
"123237",62265,"Yelena Vladimirovna Kolomina","F",29,158,50,"Kazakhstan","KAZ","2010 Winter",2010,"Winter","Vancouver","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",NA
"123238",62265,"Yelena Vladimirovna Kolomina","F",33,158,50,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Women's Sprint",NA
"123239",62265,"Yelena Vladimirovna Kolomina","F",33,158,50,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Women's 10 kilometres",NA
"123240",62265,"Yelena Vladimirovna Kolomina","F",33,158,50,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",NA
"123241",62265,"Yelena Vladimirovna Kolomina","F",33,158,50,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon",NA
"123242",62265,"Yelena Vladimirovna Kolomina","F",33,158,50,"Kazakhstan","KAZ","2014 Winter",2014,"Winter","Sochi","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",NA
"123262",62276,"Andrey Kolotvin","M",22,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Downhill",NA
"123263",62276,"Andrey Kolotvin","M",22,NA,NA,"Kazakhstan","KAZ","1994 Winter",1994,"Winter","Lillehammer","Alpine Skiing","Alpine Skiing Men's Combined",NA
"123502",62407,"Andrey Kondryshev","M",22,178,74,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",NA
"123503",62407,"Andrey Kondryshev","M",22,178,74,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon",NA
"123925",62606,"Olga Konysheva","F",29,160,58,"Kazakhstan","KAZ","2002 Winter",2002,"Winter","Salt Lake City","Ice Hockey","Ice Hockey Women's Ice Hockey",NA
"124167",62719,"Sergey Kopytov","M",30,NA,99,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Weightlifting","Weightlifting Men's Heavyweight I",NA
"124256",62760,"Sergey Arsentyevich Korepanov","M",32,170,60,"Kazakhstan","KAZ","1996 Summer",1996,"Summer","Atlanta","Athletics","Athletics Men's 50 kilometres Walk",NA
"124257",62760,"Sergey Arsentyevich Korepanov","M",36,170,60,"Kazakhstan","KAZ","2000 Summer",2000,"Summer","Sydney","Athletics","Athletics Men's 50 kilometres Walk",NA
"124258",62760,"Sergey Arsentyevich Korepanov","M",40,170,60,"Kazakhstan","KAZ","2004 Summer",2004,"Summer","Athina","Athletics","Athletics Men's 50 kilometres Walk",NA
"124259",62761,"Aleksandr Gennadyevich Koreshkov","M",29,181,84,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"124260",62761,"Aleksandr Gennadyevich Koreshkov","M",37,181,84,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"124261",62762,"Yevgeny Gennadyevich Koreshkov","M",27,170,80,"Kazakhstan","KAZ","1998 Winter",1998,"Winter","Nagano","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
"124262",62762,"Yevgeny Gennadyevich Koreshkov","M",35,170,80,"Kazakhstan","KAZ","2006 Winter",2006,"Winter","Torino","Ice Hockey","Ice Hockey Men's Ice Hockey",NA
